C,Production,NOSDAILY,AEMO,PUBLIC,2018/03/05,15:00:54
I,NOS,TXOUTAGES,1,Region,Station Name,Equipment Name,Equipment Type,KV,Start Time,End Time,Status,Constraint Set ID,2nd/IS Flag,Issues,Recall Time (D),Recall Time (N),Date/Time of Original Inclusion of Outage,Date/Time of Last Change,TNSP Submitted the Outage,Resubmit Reason
D, NOS, TXOUTAGES, 1,NSW1,Cooma (new) 132kV,CoomaNew-Munyang-SnowyAdit 97K 132kV LINE,tline,132,2018/03/12 07:00:00,2018/03/16 12:00:00,MTLTP,F-N_GUTHEGA_ZERO,0,,120,60,2018/02/06 00:00:00,2018/02/20 00:00:00,Transgrid,Information Update
D, NOS, TXOUTAGES, 1,NSW1,Cooma (new) 132kV,CoomaNew-Munyang-SnowyAdit 97K 132kV LINE,tline,132,2018/03/12 07:00:00,2018/03/16 12:00:00,MTLTP,N-GG_ZERO,0,,120,60,2018/02/06 00:00:00,2018/02/20 00:00:00,Transgrid,Information Update
D, NOS, TXOUTAGES, 1,NSW1,Cooma (new) 132kV,CoomaNew-Munyang-SnowyAdit 97K 132kV LINE,tline,132,2018/03/19 07:00:00,2018/03/23 12:00:00,MTLTP,F-N_GUTHEGA_ZERO,0,,120,60,2018/02/06 00:00:00,2018/02/27 00:00:00,Transgrid,Information Update
D, NOS, TXOUTAGES, 1,NSW1,Cooma (new) 132kV,CoomaNew-Munyang-SnowyAdit 97K 132kV LINE,tline,132,2018/03/19 07:00:00,2018/03/23 12:00:00,MTLTP,N-GG_ZERO,0,,120,60,2018/02/06 00:00:00,2018/02/27 00:00:00,Transgrid,Information Update
D, NOS, TXOUTAGES, 1,NSW1,Cooma (new) 132kV,CoomaNew-Munyang-SnowyAdit 97K 132kV LINE,tline,132,2018/04/04 08:00:00,2018/04/06 13:00:00,SUBMIT,,0,,120,60,2018/02/06 00:00:00,2018/02/06 00:00:00,Transgrid,Information Update
D, NOS, TXOUTAGES, 1,NSW1,Cooma (new) 132kV,CoomaNew-Munyang-SnowyAdit 97K 132kV LINE,tline,132,2018/04/09 08:00:00,2018/04/13 13:00:00,SUBMIT,,0,,120,60,2018/01/23 00:00:00,2018/02/06 00:00:00,Transgrid,Information Update
D, NOS, TXOUTAGES, 1,NSW1,Dapto 330kV,Dapto 1 132kV CAP,cap,132,2018/03/13 05:00:00,2018/03/14 16:00:00,MTLTP,,0,,120,120,2017/12/05 00:00:00,2017/12/13 00:00:00,Transgrid,Information Update
D, NOS, TXOUTAGES, 1,NSW1,Dapto 330kV,Dapto 2 132kV CAP,cap,132,2018/03/15 05:00:00,2018/03/16 16:00:00,MTLTP,,0,,120,120,2017/12/05 00:00:00,2017/12/13 00:00:00,Transgrid,Information Update
D, NOS, TXOUTAGES, 1,NSW1,Dapto 330kV,Dapto Marulan 8 330kV LINE,line,330,2018/03/17 05:00:00,2018/03/17 16:00:00,MTLTP,N-DTMN_8_15M,0,,120,,2018/02/06 00:00:00,2018/02/06 00:00:00,Transgrid,Information Update
D, NOS, TXOUTAGES, 1,NSW1,Dapto 330kV,Dapto Marulan 8 330kV LINE,line,330,2018/03/18 05:00:00,2018/03/18 16:00:00,MTLTP,N-DTMN_8_15M,0,,120,,2018/02/06 00:00:00,2018/02/06 00:00:00,Transgrid,Information Update
D, NOS, TXOUTAGES, 1,NSW1,Dapto 330kV,Dapto B2 330kV BUS,bus,330,2018/04/21 07:00:00,2018/04/21 15:00:00,SUBMIT,,0,,60,,2018/02/26 00:00:00,2018/02/26 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Dapto 330kV,Dapto-Tallawrr 984 132kV LINE,line,132,2018/05/21 07:15:00,2018/05/21 15:32:00,SUBMIT,,0,,60,,2018/02/13 00:00:00,2018/02/13 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Dapto 330kV,Dapto Marulan 8 330kV LINE,line,330,2018/10/03 08:00:00,2018/11/30 18:00:00,SUBMIT,,0,,240,240,2018/02/14 00:00:00,2018/02/14 00:00:00,Transgrid,
D, NOS, TXOUTAGES, 1,NSW1,Dapto 330kV,Dapto Marulan 8 330kV LINE,line,330,2018/12/03 07:00:00,2018/12/21 18:00:00,SUBMIT,,0,,120,120,2018/02/14 00:00:00,2018/02/14 00:00:00,Transgrid,
